================================================================================
PREPROC0 LOG: Note-0 / Negative-Octave Rest Marker Filtering
Dataset: /home/arjbah/Desktop/Coursework/SYM/EDA/data/symbtr_midi_v3
Total files: 3000
Date: 2026-02-17 23:58:32
================================================================================

Filtered 1 note-0 rest marker(s) from /home/arjbah/Desktop/Coursework/SYM/EDA/data/symbtr_midi_v3/acem--ilahi--duyek--aldanma_dunya--zekai_dede.mid. Details: [{'time': 32.65775115833335, 'time_ticks': 3266, 'channel': 0, 'velocity': 41, 'pitchbend': -155, 'instrument': 0}]
Filtered 1 note-0 rest marker(s) from /home/arjbah/Desktop/Coursework/SYM/EDA/data/symbtr_midi_v3/acemasiran--aranagme--aksak--1--.mid. Details: [{'time': 10.669874995833338, 'time_ticks': 1067, 'channel': 0, 'velocity': 29, 'pitchbend': -155, 'instrument': 0}]
Filtered 1 note-0 rest marker(s) from /home/arjbah/Desktop/Coursework/SYM/EDA/data/symbtr_midi_v3/acemasiran--aranagme--curcuna--1--.mid. Details: [{'time': 13.8235225, 'time_ticks': 1382, 'channel': 0, 'velocity': 77, 'pitchbend': -155, 'instrument': 0}]
Filtered 1 note-0 rest marker(s) from /home/arjbah/Desktop/Coursework/SYM/EDA/data/symbtr_midi_v3/acemasiran--aranagme--yuruksemai--1--.mid. Details: [{'time': 24.0, 'time_ticks': 2400, 'channel': 0, 'velocity': 81, 'pitchbend': -155, 'instrument': 0}]
Filtered 1 note-0 rest marker(s) from /home/arjbah/Desktop/Coursework/SYM/EDA/data/symbtr_midi_v3/acemasiran--fantezi--yuruksemai_ii--ey_benim--resat_erer.mid. Details: [{'time': 45.71428800000004, 'time_ticks': 4571, 'channel': 0, 'velocity': 90, 'pitchbend': -155, 'instrument': 0}]
Filtered 1 note-0 rest marker(s) from /home/arjbah/Desktop/Coursework/SYM/EDA/data/symbtr_midi_v3/acemasiran--sarki--aksak--dinle_sozum--iii_selim.mid. Details: [{'time': 53.2323877645836, 'time_ticks': 5323, 'channel': 0, 'velocity': 29, 'pitchbend': -155, 'instrument': 0}]
Filtered 1 note-0 rest marker(s) from /home/arjbah/Desktop/Coursework/SYM/EDA/data/symbtr_midi_v3/acemasiran--sarki--aksak--gonlum_dusuyor--ismail_baha_surelsan.mid. Details: [{'time': 3.310602750000002, 'time_ticks': 331, 'channel': 0, 'velocity': 126, 'pitchbend': -155, 'instrument': 0}]
Filtered 5 note-0 rest marker(s) from /home/arjbah/Desktop/Coursework/SYM/EDA/data/symbtr_midi_v3/acemasiran--sarki--aksak--gordum_seni--irfan_dogrusoz.mid. Details: [{'time': 0, 'time_ticks': 0, 'channel': 0, 'velocity': 114, 'pitchbend': -155, 'instrument': 0}, {'time': 0, 'time_ticks': 0, 'channel': 0, 'velocity': 111, 'pitchbend': -155, 'instrument': 0}, {'time': 12.488435916666655, 'time_ticks': 1249, 'channel': 0, 'velocity': 111, 'pitchbend': -155, 'instrument': 0}, {'time': 68.01625811666652, 'time_ticks': 6802, 'channel': 0, 'velocity': 92, 'pitchbend': -155, 'instrument': 0}, {'time': 68.71186052499986, 'time_ticks': 6871, 'channel': 0, 'velocity': 89, 'pitchbend': -155, 'instrument': 0}]
Filtered 1 note-0 rest marker(s) from /home/arjbah/Desktop/Coursework/SYM/EDA/data/symbtr_midi_v3/acemasiran--sarki--aksak--lutfeyle_meded--dede_efendi.mid. Details: [{'time': 12.499995000000002, 'time_ticks': 1250, 'channel': 0, 'velocity': 17, 'pitchbend': -155, 'instrument': 0}]
Filtered 1 note-0 rest marker(s) from /home/arjbah/Desktop/Coursework/SYM/EDA/data/symbtr_midi_v3/acemasiran--sarki--aksak--o_tebessum--ismail_baha_surelsan.mid. Details: [{'time': 9.0, 'time_ticks': 900, 'channel': 0, 'velocity': 113, 'pitchbend': -155, 'instrument': 0}]
Filtered 1 note-0 rest marker(s) from /home/arjbah/Desktop/Coursework/SYM/EDA/data/symbtr_midi_v3/acemasiran--sarki--aksak--oldu_gonul--dede_efendi.mid. Details: [{'time': 13.62861978124999, 'time_ticks': 1363, 'channel': 0, 'velocity': 11, 'pitchbend': -155, 'instrument': 0}]
Filtered 1 note-0 rest marker(s) from /home/arjbah/Desktop/Coursework/SYM/EDA/data/symbtr_midi_v3/acemasiran--sarki--curcuna--ates-i_askinla--emin_ongan.mid. Details: [{'time': 11.063600916666665, 'time_ticks': 1106, 'channel': 0, 'velocity': 114, 'pitchbend': -155, 'instrument': 0}]
Filtered 1 note-0 rest marker(s) from /home/arjbah/Desktop/Coursework/SYM/EDA/data/symbtr_midi_v3/acemasiran--sarki--curcuna--dilde_derd-i--nuri_halil_poyraz.mid. Details: [{'time': 10.0, 'time_ticks': 1000, 'channel': 0, 'velocity': 113, 'pitchbend': -155, 'instrument': 0}]
Filtered 1 note-0 rest marker(s) from /home/arjbah/Desktop/Coursework/SYM/EDA/data/symbtr_midi_v3/acemasiran--sarki--curcuna--gam_cekme_guzel--arif_sami_toker.mid. Details: [{'time': 19.361849850000002, 'time_ticks': 1936, 'channel': 0, 'velocity': 66, 'pitchbend': -155, 'instrument': 0}]
Filtered 1 note-0 rest marker(s) from /home/arjbah/Desktop/Coursework/SYM/EDA/data/symbtr_midi_v3/acemasiran--sarki--curcuna--neden_kalbim--nasibin_mehmet_yuru.mid. Details: [{'time': 5.0, 'time_ticks': 500, 'channel': 0, 'velocity': 113, 'pitchbend': -155, 'instrument': 0}]
Filtered 1 note-0 rest marker(s) from /home/arjbah/Desktop/Coursework/SYM/EDA/data/symbtr_midi_v3/acemasiran--sarki--devrihindi--ey_gul-i_rana--neveser_kokdes.mid. Details: [{'time': 151.19211451041684, 'time_ticks': 15119, 'channel': 0, 'velocity': 17, 'pitchbend': -155, 'instrument': 0}]
Filtered 1 note-0 rest marker(s) from /home/arjbah/Desktop/Coursework/SYM/EDA/data/symbtr_midi_v3/acemasiran--sarki--duyek--bu_hal--sadettin_kaynak.mid. Details: [{'time': 16.0, 'time_ticks': 1600, 'channel': 0, 'velocity': 94, 'pitchbend': -155, 'instrument': 0}]
Filtered 1 note-0 rest marker(s) from /home/arjbah/Desktop/Coursework/SYM/EDA/data/symbtr_midi_v3/acemasiran--sarki--semai--bitmesin_icimdeki--omer_dilek.mid. Details: [{'time': 9.915709781250001, 'time_ticks': 992, 'channel': 0, 'velocity': 96, 'pitchbend': -155, 'instrument': 0}]
